"AL","AZ","AR","CA","CO","CT","DE","DC","FL","GA","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
1,0.00268048606147248,0.00851788756388416,0.00201758178411875,0.00298418382572366,0.00202647932991084,0.00149476831091181,0.00495649300583765,0.0116630669546436,0.0326387973097719,0.00908340214698596,0.00395979287237283,0.00530770334241859,0.00275814514738838,0.00340014316392269,0.00624076202988997,0.0279801499313694,0.00759089093088294,0.00675503441243946,0.00225754018421528,0.00307337687283903,0.0021932830705963,0.0385259631490787,0.00673736743605739,0.00113636363636364,0.0019047619047619,0.00188304215922168,0.000424718623911659,0.00304940028461069,0.00404390525707683,0.00298314522945359,0.00953977052984401,0.000655737704918033,0.0115570686256943,0.00264744815414031,0.00159066808059385,0.00461758038787675,0.00112485939257593,0.0128681019549616,0.000946969696969697,0.0301762114537445,0.00682999911870979,0.00123828055899522,0.000239923224568138,0.0100638459041229,0.00220831799779168,0.00250227479526843,0.00275735294117647,0.000706880301602262
0.00268048606147248,1,0.00174634359310194,0.0201345120764773,0.0134457611668186,0.00262984878369494,0.000755477209770839,0.00527725907282618,0.00301127953861073,0.00275613505061748,0.00493461633358006,0.011130926757272,0.00293083235638921,0.00453841044941333,0.00192133815551537,0.00213561131873999,0.00502745765333746,0.000723240115718419,0.00423042304230423,0.00356493778834056,0.00241422196210403,0.00570939194975735,0.00211909302818394,0.00354390006201825,0.00183030461498235,0.0031798374749735,0.0143839405674544,0.000125502008032129,0.00267359254449622,0.0146107784431138,0.00329707972938255,0.0023841059602649,0.00536941580756014,0.00351772658297696,0.00288672108301812,0.00876865671641791,0.00389053742169469,0.000814806192527063,0.00166301969365427,0.00147157190635451,0.00406018629090041,0.0106848360497077,0.00745594215996385,0.000134661998384056,0.00318674314850223,0.00819380121125757,0.00104479561185843,0.00291433392131298,0.00186890935789614
0.00851788756388416,0.00174634359310194,1,0.00111737788655954,0.00362047440699126,0.00111794298490777,0,0.00198131899235777,0.00202499825431185,0.00213423609066824,0.00352858151023289,0.00279053020073814,0.0040453074433657,0.00319064078702473,0.00592885375494071,0.00368731563421829,0.0155796144705572,0.00200400801603206,0.00256849315068493,0.00354649229746204,0.0025062656641604,0.00266514372739387,0.0116845180136319,0.0139683608212723,0.00254777070063694,0.005314160675211,0.00132925694536754,0,0.000639467962655071,0.00539169045353631,0.000828088771116264,0.0134702686611595,0.00123304562268804,0.00238482384823848,0.0148841165213693,0.00254638050200073,0.00141299959628583,0.000911023382933495,0.00310305405846807,0.00137551581843191,0.0192414947016174,0.00657990226909865,0.00193959545580493,0,0.00371747211895911,0.0010182147301731,0.00127118644067797,0.00180389125112743,0.000908677873693776
0.00201758178411875,0.0201345120764773,0.00111737788655954,1,0.0106883659555751,0.00584331979795979,0.000568990042674253,0.0109733700642792,0.00376983446999554,0.00354946406606923,0.00248041039517447,0.00590141171025226,0.00135842221775005,0.00123067044785703,0.000919664592913173,0.00131599726272569,0.00492895204262877,0.000278800044608007,0.00692460413539296,0.00393305439330544,0.00171681188033821,0.00248065092280214,0.00131095962244363,0.00234281616065025,0.00104154611734753,0.001213257596647,0.0219655282186548,0.000227246903760936,0.00765825586542718,0.00560861839182585,0.0118417429087237,0.00351407386583266,0.00253284787082476,0.00306901128069011,0.00132073554810525,0.00858115105784879,0.00933782631643051,0.000438909310363746,0.00104468398309511,0.000408974059359663,0.00261367220945428,0.00860633765061091,0.00525517390833243,0.000175839634253561,0.00442817766933261,0.00963497453310696,0.000462588180871979,0.00132251807441368,0.000466907902416248
0.00298418382572366,0.0134457611668186,0.00362047440699126,0.0106883659555751,1,0.00368382275549942,0.000734861845972957,0.00590498344815246,0.00417661097852029,0.00321615979236021,0.00574135208841682,0.00816918110547467,0.00473359753412594,0.00506585612968592,0.00638270157613651,0.00462962962962963,0.00730733282351942,0.00125803746155997,0.00461291616526274,0.00394956706668692,0.00247366741142675,0.00479488545551412,0.00289330922242315,0.00871287128712871,0.00384674565317741,0.00819784123514141,0.00758097863542385,0.000439431668375568,0.00511487506288781,0.0141059327893791,0.00455139470956694,0.00378231906966241,0.00747365841705464,0.00464489062031765,0.0054005400540054,0.00865304420350292,0.0062870615131814,0.000805044948342949,0.00184717091191911,0.00300252844500632,0.00516909059050289,0.00876732253242293,0.010916179337232,0.000159058374423413,0.00473725765418019,0.0086046511627907,0.00107378432274889,0.00277194456110878,0.0114394661582459
0.00202647932991084,0.00262984878369494,0.00111794298490777,0.00584331979795979,0.00368382275549942,1,0.00509461426491994,0.009415087678004,0.00322866548493289,0.00272009553506269,0.00207756232686981,0.00309572948086998,0.00201612903225806,0.00228223659186002,0.000989119683481701,0.00287562904385334,0.00360419397116645,0.00514081358962897,0.011001100110011,0.0563619981980178,0.00243087207535703,0.00266824785057812,0.00230496453900709,0.00146451870589802,0.00155763239875389,0.00148746281342966,0.00255356944598646,0.0136319376825706,0.0186885245901639,0.00214730513205927,0.0197443624649278,0.00385202895663147,0.00270660411403825,0.00439375525848369,0.000798084596967279,0.00200142959256612,0.0125920014188171,0.0392454466608846,0.00341521082359123,0.000543625985322098,0.00296093838970504,0.00238212953391164,0.00254901960784314,0.00332409972299169,0.00699060279624112,0.00193704600484262,0.00181676615624189,0.00107968041459728,0.000270343336036767
0.00149476831091181,0.000755477209770839,0,0.000568990042674253,0.000734861845972957,0.00509461426491994,1,0.00757836720633827,0.00061012812690665,0.00137429264349232,0,0.000403795679386231,0.00107238605898123,0.00118110236220472,0.000428816466552316,0.00105263157894737,0.000929368029739777,0.00113122171945701,0.0178257042253521,0.00179234413007297,0.00111700642278693,0.000495662949194548,0.000683994528043776,0.000417275192989777,0.000884955752212389,0.000503778337531486,0.000476190476190476,0.00139372822299652,0.0136817832436587,0,0.00266998932004272,0.00226537216828479,0.0010611956137248,0.00124890720619458,0.000282326369282891,0.000233590282644242,0.0186335403726708,0.000968992248062015,0.00203998368013056,0.00104931794333683,0.000823045267489712,0.000153280196198651,0.000419287211740042,0.00111856823266219,0.00514181456294576,0.000393959290873276,0.00088339222614841,0.000458575359217365,0
0.00495649300583765,0.00527725907282618,0.00198131899235777,0.0109733700642792,0.00590498344815246,0.009415087678004,0.00757836720633827,1,0.00601753682159436,0.00851369986210204,0.00232018561484919,0.00850734725444702,0.00282381829343155,0.00157909847832328,0.000739426205264715,0.00206270627062706,0.00702402957486137,0.00112957882846539,0.0713103122043519,0.00905424314758416,0.00311203319502075,0.00201088242252188,0.00231513005583549,0.00304314748396913,0.000179726815240834,0.00124766063630692,0.0057137504683402,0.0010230179028133,0.0196948682385576,0.00362147693276649,0.0133479004370131,0.0114237614237614,0.00234579826134952,0.00638538635628839,0.00125517760763148,0.00345383375546857,0.0202876020209872,0.00184956843403206,0.00332796564680623,0.000185632077222944,0.00631699846860643,0.0043925702811245,0.00279370680782238,0.000187687687687688,0.0308447937131631,0.00794513673998495,0.0025211597334774,0.00127678978568171,0.000184979652238254
0.0116630669546436,0.00301127953861073,0.00202499825431185,0.00376983446999554,0.00417661097852029,0.00322866548493289,0.00061012812690665,0.00601753682159436,1,0.017571277719113,0.00150398556173861,0.00432136053157381,0.0024024413999091,0.00140577774653827,0.00114114542472006,0.00317000895872097,0.0089419605665093,0.00170991004386291,0.005047085615806,0.00354573484069887,0.00286928799149841,0.00152700897117771,0.00681302043906132,0.00322266812598808,0.00038971161340608,0.00124332626343889,0.00317548746518106,0.000532967869651287,0.00389532012947825,0.00102714600146735,0.00686426358772177,0.00883547590134416,0.00172306844027845,0.0061734693877551,0.00164235974247799,0.00125266190655142,0.00527379368130514,0.00109051254089422,0.00733555622916035,0.000316105579263474,0.00827758249234607,0.00611148637781852,0.000781305490446765,0.000238170847888218,0.00560430229266912,0.00228239443925718,0.000779605519607079,0.00230680507497117,7.88892395077311e-05
0.0326387973097719,0.00275613505061748,0.00213423609066824,0.00354946406606923,0.00321615979236021,0.00272009553506269,0.00137429264349232,0.00851369986210204,0.017571277719113,1,0.00222983196623397,0.00529584516874488,0.00402840365970231,0.00222485909225749,0.00135480957398766,0.00326583932070542,0.0104329681794471,0.0242784789774098,0.00729832719757153,0.00432807908095111,0.00304102620811678,0.00220367278797997,0.00849056603773585,0.00407591389631894,0.000496031746031746,0.000772379701861435,0.00208840932822833,0.000403128275417238,0.00337027304924026,0.00124079100426522,0.00770148606139495,0.0204892966360856,0.00101544933633133,0.018505605321032,0.00117265641167138,0.00105007547417471,0.0049062196555425,0.000767636447378522,0.0238509637078579,0.000419463087248322,0.0168167451845668,0.00526558283419996,0.000749232037161909,8.42815002107038e-05,0.0087662145353314,0.00183239019132309,0.00132362673726009,0.00246093973559206,8.37310558486143e-05
0.00908340214698596,0.00493461633358006,0.00352858151023289,0.00248041039517447,0.00574135208841682,0.00207756232686981,0,0.00232018561484919,0.00150398556173861,0.00222983196623397,1,0.00208188757807078,0.00152827305145186,0.00439721509710517,0.00317082837891399,0.00361842105263158,0.00604229607250755,0.00101729399796541,0.00291120815138282,0.00112303468929374,0.00108695652173913,0.00236686390532544,0.0368403584467308,0.00462776659959759,0.0145038167938931,0.00552486187845304,0.0043256604356558,0,0.00191768697448001,0.00659133709981168,0.000878117316473481,0.00095435024654048,0.0127090301003344,0.00219592533853849,0.00214304848647201,0.0251716247139588,0.00180302005859815,0.000884173297966401,0.00274725274725275,0.00699300699300699,0.00448,0.00202706126792682,0.0221518987341772,0.00183318056828598,0.00208166533226581,0.0129600829445308,0.00377073906485671,0.00133650133650134,0.0112262521588946
0.00395979287237283,0.011130926757272,0.00279053020073814,0.00590141171025226,0.00816918110547467,0.00309572948086998,0.000403795679386231,0.00850734725444702,0.00432136053157381,0.00529584516874488,0.00208188757807078,1,0.0172198652358373,0.0145233936942734,0.0017579570688379,0.0044259537930424,0.00740940320625084,0.000292369164798753,0.00675312715831479,0.0104018327038573,0.0099290780141844,0.0177875243664717,0.00307422046552481,0.0118014313994213,0.00145666423889294,0.00517935929407251,0.00420766881574483,0.000201430154094068,0.00466107337861233,0.00278712157616531,0.00634090278603416,0.00345987506006728,0.00765260722548496,0.00855170728727628,0.00133100407619998,0.00282574568288854,0.0073266514272317,0.000758150113722517,0.00201808804843411,0.0018025660057258,0.00600538413750259,0.00580499516250403,0.00230308613542146,0.000426212040490144,0.0044168391994479,0.00392547822294224,0.00103982530934803,0.0410494254464904,0.00105741778576716
0.00530770334241859,0.00293083235638921,0.0040453074433657,0.00135842221775005,0.00473359753412594,0.00201612903225806,0.00107238605898123,0.00282381829343155,0.0024024413999091,0.00402840365970231,0.00152827305145186,0.0172198652358373,1,0.00976319069380972,0.00301919344403709,0.017512790240063,0.012220428867881,0.00122458976242959,0.00477568740955137,0.00247084404032417,0.0133504218733312,0.012265052564511,0.00286861732644865,0.00965223562810504,0.00145180023228804,0.00678362573099415,0.00197582519758252,0,0.00134831460674157,0.00282618935468676,0.00198133375045623,0.00286415711947627,0.00468384074941452,0.0161242748992233,0.00325231085244779,0.00182149362477231,0.00492880613362541,0.00114181319936058,0.00277392510402219,0.00245098039215686,0.0107112769286316,0.0026103681993039,0.00191693290734824,0.000311332503113325,0.00479731350443752,0.00161290322580645,0.00290613193839,0.00933834415214668,0.00121691512017037
0.00275814514738838,0.00453841044941333,0.00319064078702473,0.00123067044785703,0.00506585612968592,0.00228223659186002,0.00118110236220472,0.00157909847832328,0.00140577774653827,0.00222485909225749,0.00439721509710517,0.0145233936942734,0.00976319069380972,1,0.00727802037845706,0.0053043697903511,0.00330512956107879,0.00172890733056708,0.00261460693742374,0.00257587635793482,0.00326481257557437,0.0223718075628588,0.00197775030902349,0.0123076923076923,0.00444839857651246,0.0359400998336106,0.00229326858222042,0.000390167772142021,0.00142671854734112,0.00491480996068152,0.00250264167732607,0.00177896375361352,0.0227448953217886,0.00373216245883644,0.00279149667167705,0.00222345747637576,0.00326964340451619,0.00156838143036386,0.00182481751824818,0.0156173743289409,0.00473999721176635,0.001790466973143,0.00342759211653813,0,0.00181209924728185,0.00183297055791041,0.00355239786856128,0.0262172284644195,0.00382409177820268
0.00340014316392269,0.00192133815551537,0.00592885375494071,0.000919664592913173,0.00638270157613651,0.000989119683481701,0.000428816466552316,0.000739426205264715,0.00114114542472006,0.00135480957398766,0.00317082837891399,0.0017579570688379,0.00301919344403709,0.00727802037845706,1,0.00346020761245675,0.0035359717122263,0.0011177347242921,0.00198879045380582,0.0013745704467354,0.00123808344682432,0.00324017820980154,0.0026089225150013,0.0423357664233577,0.00146699266503667,0.0125566794558772,0.00180380185930346,0,0.00039957378795951,0.00386507378777231,0.00581493818099701,0.00173166691763289,0.00106866150146941,0.00190647078613884,0.0157139603734912,0.0013482280431433,0.00125039074710847,0.00134273246055723,0.00120233596702164,0.00160599571734475,0.00286656155940949,0.00352595494613124,0.00273224043715847,0,0.00157909847832328,0.000938196317579453,0.0009765625,0.00201423391969921,0.00105932203389831
0.00624076202988997,0.00213561131873999,0.00368731563421829,0.00131599726272569,0.00462962962962963,0.00287562904385334,0.00105263157894737,0.00206270627062706,0.00317000895872097,0.00326583932070542,0.00361842105263158,0.0044259537930424,0.017512790240063,0.0053043697903511,0.00346020761245675,1,0.00547352342158859,0.000936329588014981,0.00347624565469293,0.00140555735755217,0.00443458980044346,0.00366703337000367,0.00483648088438508,0.00435132957292506,0.000779423226812159,0.00381231671554252,0.0015527950310559,0.000348068221371389,0.00124672734073058,0.00207715133531157,0.00125593840441217,0.00253807106598985,0.00234907211651398,0.0141600514910963,0.00160901045856798,0.000349833828931258,0.00346740638002774,0.000857142857142857,0.00347716137189821,0.00125628140703518,0.0159481010947425,0.0017162471395881,0.00183438155136268,0,0.0034801231428189,0.00121627598407784,0.00823852491173009,0.00389888064394416,0
0.0279801499313694,0.00502745765333746,0.0155796144705572,0.00492895204262877,0.00730733282351942,0.00360419397116645,0.000929368029739777,0.00702402957486137,0.0089419605665093,0.0104329681794471,0.00604229607250755,0.00740940320625084,0.012220428867881,0.00330512956107879,0.0035359717122263,0.00547352342158859,1,0.00132216835610401,0.00708112048318234,0.00335204240723418,0.00427490956922065,0.00320300419703998,0.0365362111558965,0.00912633305988515,0.000647983152438037,0.00342465753424658,0.00247327974560551,0.000308594352723345,0.00422741782417393,0.00561393407226141,0.00375062891643416,0.00803700491471524,0.00292881701260665,0.00654954538449684,0.00644480899929693,0.00150311359244149,0.00659437280187573,0.00056274620146314,0.00606183067286321,0.00133511348464619,0.0212023864157871,0.0358450082039631,0.00242783922309145,0,0.0104631061777818,0.00166099818081152,0.00210833603632825,0.00354978354978355,0.000332391557254446
0.00759089093088294,0.000723240115718419,0.00200400801603206,0.000278800044608007,0.00125803746155997,0.00514081358962897,0.00113122171945701,0.00112957882846539,0.00170991004386291,0.0242784789774098,0.00101729399796541,0.000292369164798753,0.00122458976242959,0.00172890733056708,0.0011177347242921,0.000936329588014981,0.00132216835610401,1,0.00241594523857459,0.0106264673174348,0.000664982045484772,0.000683682771194166,0.00367197062423501,0.000972006220839813,0.000673854447439353,0.00128369704749679,0.000601232526679693,0.0135823429541596,0.00230813618003462,0.000436109899694723,0.000812112071465862,0.00417684608716211,0.000943099654196794,0.00155539602775784,0.00102748522989982,0.000863557858376511,0.00155004428697963,0.00665557404326123,0.0183716882614581,0,0.00437090227911333,0.000451807228915663,0.000730460189919649,0.00482703137570394,0.00328484279680901,0.000376458777763835,0.00202156334231806,0.000725268349289237,0
0.00675503441243946,0.00423042304230423,0.00256849315068493,0.00692460413539296,0.00461291616526274,0.011001100110011,0.0178257042253521,0.0713103122043519,0.005047085615806,0.00729832719757153,0.00291120815138282,0.00675312715831479,0.00477568740955137,0.00261460693742374,0.00198879045380582,0.00347624565469293,0.00708112048318234,0.00241594523857459,1,0.00665997627953654,0.00357764455617869,0.003601108033241,0.00425601571451956,0.00351053159478435,0.00207804202262757,0.00250868390582787,0.00401097741186405,0.000861697544161999,0.0195527821112845,0.00389939559368298,0.0113670656875566,0.0113474257554143,0.00282298239787446,0.00926009170187899,0.000741070105231955,0.00402090872537193,0.0288752485519149,0.00285171102661597,0.00482553823311062,0.000721153846153846,0.00639219934994583,0.00414279418245923,0.00340746054519369,0.000975609756097561,0.0207025657967184,0.0056659855099387,0.010707635009311,0.00246659815005139,0.000239177230327673
0.00225754018421528,0.00356493778834056,0.00354649229746204,0.00393305439330544,0.00394956706668692,0.0563619981980178,0.00179234413007297,0.00905424314758416,0.00354573484069887,0.00432807908095111,0.00112303468929374,0.0104018327038573,0.00247084404032417,0.00257587635793482,0.0013745704467354,0.00140555735755217,0.00335204240723418,0.0106264673174348,0.00665997627953654,1,0.00199232585596222,0.00413342305104297,0.00128713933283278,0.0227293473299863,0.0006635700066357,0.00190953574412221,0.00228652527004652,0.0224133437581444,0.0163357823979991,0.000959117611797147,0.0129068706270914,0.00352357055149218,0.00184341791368467,0.00305937978028091,0.00332694828107672,0.00196813495782568,0.00861608335559711,0.0410269008721287,0.00203575854133475,0.000815549816501291,0.00337430706194264,0.00320450947839852,0.0014803006148941,0.00315890674357918,0.00515920999596937,0.00164238788917452,0.000796178343949045,0.00185614849187935,0.000406559154356959
0.00307337687283903,0.00241422196210403,0.0025062656641604,0.00171681188033821,0.00247366741142675,0.00243087207535703,0.00111700642278693,0.00311203319502075,0.00286928799149841,0.00304102620811678,0.00108695652173913,0.0099290780141844,0.0133504218733312,0.00326481257557437,0.00123808344682432,0.00443458980044346,0.00427490956922065,0.000664982045484772,0.00357764455617869,0.00199232585596222,1,0.00235462735462735,0.00556070435588508,0.00266134397870925,0.000872219799389446,0.00168241232043484,0.00166154357398023,0.000278202809848379,0.00194741966893866,0.0014317323961994,0.00252257036643654,0.0030963175937189,0.00128309809868191,0.0144383057090239,0.000753498385360603,0.000797766254487435,0.00612898732413985,0.000895942659669781,0.00187863986473793,0.000895255147717099,0.00381711765204852,0.00253314862457946,0.00073764445537251,0.000752558699578567,0.00263090893660358,0.000973126731042743,0.00189118417224324,0.00326290888326943,0.000297397769516729
0.0021932830705963,0.00570939194975735,0.00266514372739387,0.00248065092280214,0.00479488545551412,0.00266824785057812,0.000495662949194548,0.00201088242252188,0.00152700897117771,0.00220367278797997,0.00236686390532544,0.0177875243664717,0.012265052564511,0.0223718075628588,0.00324017820980154,0.00366703337000367,0.00320300419703998,0.000683682771194166,0.003601108033241,0.00413342305104297,0.00235462735462735,1,0.00108283703302653,0.00678794461037198,0.00240448837830617,0.00743494423791822,0.00314748201438849,0.000493096646942801,0.00195715994345982,0.0032996040475143,0.00514933058702369,0.00193591455273698,0.0341491178144565,0.00263901979264844,0.0016249593760156,0.00203222528668892,0.00301445163578331,0.000426894343649947,0.00226184140500266,0.0093167701863354,0.00415464512406232,0.00166975044000181,0.00300480769230769,0.000569151963574274,0.00311994453431939,0.00274214082851826,0.000533049040511727,0.0160736060303736,0.00167224080267559
0.0385259631490787,0.00211909302818394,0.0116845180136319,0.00131095962244363,0.00289330922242315,0.00230496453900709,0.000683994528043776,0.00231513005583549,0.00681302043906132,0.00849056603773585,0.0368403584467308,0.00307422046552481,0.00286861732644865,0.00197775030902349,0.0026089225150013,0.00483648088438508,0.0365362111558965,0.00367197062423501,0.00425601571451956,0.00128713933283278,0.00556070435588508,0.00108283703302653,1,0.00558213716108453,0.00113722517058378,0.00258101519931173,0.00102498398462524,0.000339443312966735,0.000864517722613314,0.00290697674418605,0.00146882820150147,0.00404565814188701,0.000461041954817888,0.00389884088514225,0.00257936507936508,0.00086400552963539,0.00225955398369191,0.00111982082866741,0.00642532518414042,0.000812347684809098,0.0219469503164131,0.00596374045801527,0.00128501670521717,0,0.0041119511871601,0.000986950323500384,0.00189537528430629,0.00223964165733483,0
0.00673736743605739,0.00354390006201825,0.0139683608212723,0.00234281616065025,0.00871287128712871,0.00146451870589802,0.000417275192989777,0.00304314748396913,0.00322266812598808,0.00407591389631894,0.00462776659959759,0.0118014313994213,0.00965223562810504,0.0123076923076923,0.0423357664233577,0.00435132957292506,0.00912633305988515,0.000972006220839813,0.00351053159478435,0.0227293473299863,0.00266134397870925,0.00678794461037198,0.00558213716108453,1,0.00110987791342952,0.0155214840053,0.00269262634631317,0,0.00180813661476645,0.00453257790368272,0.003662641061176,0.00401171676006113,0.00371807306821856,0.00538156153506837,0.0155516431924883,0.00156883252712773,0.00441005158928274,0.000367444424030865,0.00229690522243714,0.00115526802218115,0.0101452370781717,0.00737294830158869,0.00313206890551592,0.000234027615258601,0.00361509835194046,0.002461257976299,0.00133155792276964,0.00506380392951185,0.00138057984353428
